"","date","max","min","ave","day","temperature","col_sin","col_ave","col_min","col_max","row","col"
"1",2020-10-25,13.9,7.6,10,1,8.96063836993719,"4-9","9-14","4-9","9-14",1,1
"2",2020-10-26,13.9,7.2,10,2,8.59972390436165,"4-9","9-14","4-9","9-14",1,2
"3",2020-10-27,13.7,8.2,10.3,3,9.31067228274058,"9-14","9-14","4-9","9-14",1,3
"4",2020-10-28,12.2,7.8,9,4,8.65824473065349,"4-9","4-9","4-9","9-14",1,4
"5",2020-10-29,14.5,9.4,12.4,5,10.3601345861624,"9-14","9-14","9-14","14-19",1,5
"6",2020-10-30,15.2,13.8,14.4,6,14.0541848794163,"14-19","14-19","9-14","14-19",1,6
"7",2020-10-31,14.8,10.2,12.8,7,11.0047904743476,"9-14","9-14","9-14","14-19",1,7
"8",2020-11-01,16.9,10.7,14.2,8,11.7443597454061,"9-14","14-19","9-14","14-19",1,8
"9",2020-11-02,17.1,7,11.9,9,8.63654921192303,"4-9","9-14","4-9","14-19",1,9
"10",2020-11-03,11.1,4.8,7.5,10,5.78106577747904,"4-9","4-9","4-9","9-14",1,10
"11",2020-11-04,11.6,1.4,6.5,11,2.92507802741661,"0-4","4-9","0-4","9-14",1,11
"12",2020-11-05,11.7,2.9,6.4,12,4.16204853396154,"4-9","4-9","0-4","9-14",1,12
"13",2020-11-06,11.7,2.8,6.3,13,4.02302022049583,"4-9","4-9","0-4","9-14",1,13
"14",2020-11-07,12.6,6.4,9.5,14,7.21548245889365,"4-9","9-14","4-9","9-14",1,14
"15",2020-11-08,14.3,10.6,12.2,15,11.0652773689995,"9-14","9-14","9-14","14-19",2,1
"16",2020-11-09,16.3,12.2,13.4,16,12.6923417691415,"9-14","9-14","9-14","14-19",2,2
"17",2020-11-10,14.2,10.1,12.1,17,10.5695700134663,"9-14","9-14","9-14","14-19",2,3
"18",2020-11-11,13.5,9.7,11.9,18,10.1145421324146,"9-14","9-14","9-14","9-14",2,4
"19",2020-11-12,13.2,8.4,10.8,19,8.89808288995341,"4-9","9-14","4-9","9-14",2,5
"20",2020-11-13,11.9,8.7,10.4,20,9.0154001893272,"9-14","9-14","4-9","9-14",2,6
"21",2020-11-14,14.2,9,12.2,21,9.48608277561602,"9-14","9-14","4-9","14-19",2,7
"22",2020-11-15,12.2,7.8,10,22,8.18945929830279,"4-9","9-14","4-9","9-14",2,8
"23",2020-11-16,12.3,9.4,10.8,23,9.64264908502124,"9-14","9-14","9-14","9-14",2,9
"24",2020-11-17,14.7,11.3,12.7,24,11.5684461959482,"9-14","9-14","9-14","14-19",2,10
